Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Tucker Davidson,MIRP,ATL,,13,25.1833333,,Rise,45 / 55,50 / 55,55 / 55,40 / 40,40 / 40,2200,2500,91-95,98,40+,19871
JoJo Romero,MIRP,PHI,,13,24.7,,Sink,55 / 55,50 / 55,,50 / 55,45 / 45,2250,2550,93-95,96,40+,19574
Lucas Gilbreath,SIRP,COL,,13,25.2388888,,Cut/Rise,60 / 60,50 / 55,,,40 / 40,2300,,93-96,97,40+,21290
Jay Groome,SP,BOS,,13,22.7722222,5/15/18,Rise,50 / 50,40 / 45,55 / 55,45 / 50,40 / 50,2250,2500,92-94,95,40+,sa917925
Shawn Dubin,SIRP,HOU,,13,25.7361111,,Rise,55 / 55,60 / 60,50 / 50,,40 / 40,2300,2750,92-95,97,40+,24977
Wyatt Mills,SIRP,SEA,,13,26.35,,Sink/Tail,50 / 50,55 / 55,,45 / 50,50 / 55,2050,2550,92-94,95,40+,20010
Adam Kloffenstein,SP,TOR,,13,20.7666666,,Sink,45 / 50,50 / 55,40 / 45,40 / 50,30 / 50,2000,2300,88-92,94,40,sa3008578
Junior Santos,SP,NYM,,13,19.7916666,,Tail,50 / 60,45 / 50,,40 / 50,20 / 45,2350,2150,89-93,95,40,sa3005470
Joan Adon,SIRP,WSN,,13,22.8027777,,,50 / 55,45 / 45,,50 / 55,40 / 40,2250,2150,92-96,98,40,22925
Andre Jackson,SP,LAD,,14,25.0833333,11/1/16,Rise,50 / 50,,50 / 50,45 / 50,45 / 50,2400,2400,90-93,95,45,21298
Tony Santillan,SIRP,CIN,,14,24.1277777,,Tail,50 / 50,55 / 55,,45 / 50,40 / 45,2200,2600,91-94,96,40+,19926
Levi Kelly,MIRP,ARI,,14,22.0472222,,Rise,45 / 50,60 / 70,50 / 50,,30 / 40,2250,2500,90-94,96,40+,sa3008500
Freddy Tarnok,SP,ATL,,14,22.5194444,,Rise,45 / 55,,50 / 55,45 / 55,35 / 50,2450,2275,89-92,96,40+,23324
Carmen Mlodzinski,SP,PIT,,14,22.2833333,,Sink,55 / 60,50 / 50,,40 / 45,35 / 50,,,93-97,98,40+,27572
Owen White,SP,TEX,,14,21.8111111,,,45 / 50,,55 / 60,45 / 55,30 / 50,2300,2500,92-95,96,40+,22273
Thaddeus Ward,MIRP,BOS,,14,24.375,,Tail,45 / 50,50 / 55,45 / 45,40 / 45,40 / 45,2250,2700,90-94,96,40+,21513
Camilo Doval,SIRP,SFG,,14,23.9083333,,Cut,,55 / 55,,,20 / 30,2750,2700,93-98,99,40+,21992
Edwin Núñez,SP,STL,,14,19.5722222,,,55 / 70,,45 / 55,,20 / 50,,,92-96,99,40,
Brian Howard,SP,OAK,,14,26.1,,,50 / 50,,45 / 50,45 / 50,50 / 55,2150,2500,89-91,93,40,sa918377
Ryley Gilliam,SIRP,NYM,,14,24.8055555,,Rise,55 / 55,20 / 55,55 / 55,,30 / 35,2600,2800,94-95,96,40,sa3008225
Norge Vera,RHP,CHW,,14,21,,,45 / 50,,50 / 55,40 / 50,40 / 50,,,90-94,97,40,
Carlos Vargas,SIRP,CLE,,15,21.6333333,,Sink,55 / 65,55 / 60,,35 / 45,30 / 40,2250,2400,94-97,99,45,22915
Luis Frías,SIRP,ARI,,15,23.0222222,,Sink,55 / 55,45 / 50,45 / 50,,30 / 40,2350,2350,93-97,99,40+,21997
Justin Slaten,MIRP,TEX,,15,23.7111111,,,55 / 55,60 / 70,,45 / 50,35 / 45,2300,2400,92-96,97,40+,25648
Aldo Ramirez,SP,BOS,,15,20.0694444,,Rise,45 / 50,45 / 50,,45 / 55,35 / 60,2150,2200,90-95,96,40+,sa3005371
Cole Sands,SP,MIN,,15,23.8722222,,Tail,50 / 55,,55 / 55,45 / 50,40 / 45,2450,3000,91-94,96,40+,21461
Austin Cox,MIRP,KCR,,15,24.175,,Rise,45 / 50,50 / 50,50 / 50,50 / 55,30 / 40,2200,2450,89-93,95,40+,24604
T.J. Sikkema,SP,NYY,,15,22.85,,Tail,45 / 50,50 / 55,,40 / 50,45 / 60,2250,2300,90-94,95,40+,sa3011191
Davis Daniel,SIRP,LAA,,15,23.9722222,4/25/19,Rise,45 / 55,,55 / 60,,30 / 40,,,90-93,94,40,27582
Junior Fernández,SIRP,STL,,15,24.2472222,,Sink,55 / 55,45 / 45,,60 / 60,30 / 35,2200,2150,95-97,99,40,18496
Ethan Elliott,MIRP,SDP,,15,24.0916666,,,45 / 45,45 / 50,,55 / 60,45 / 60,,,88-92,93,40,sa3010380
Alex Santos II,SP,HOU,,15,19.3083333,,Rise,45 / 55,30 / 50,50 / 55,,25 / 50,,,89-93,95,40,sa3014684
Connor Phillips,SP,SEA,,15,20.075,,Rise/Tail,50 / 60,45 / 50,50 / 55,,30 / 40,,,90-94,98,40,27649
Franklyn Kilome,SIRP,NYM,,15,25.9333333,10/24/18,Sink,55 / 55,40 / 40,60 / 60,50 / 50,40 / 40,2450,2200,92-96,97,40,17861
Mason Denaburg,SP,WSN,,15,21.8138888,,,55 / 60,,60 / 60,50 / 55,30 / 50,2300,2400,92-95,98,35+,sa3010648
JJ Goss,SP,TBR,,16,20.4333333,,Tail,50 / 55,50 / 55,,,35 / 55,2600,2400,91-94,96,45+,sa3011420
Michael Grove,MIRP,LAD,,16,24.4527777,5/1/17,Rise,55 / 60,45 / 50,55 / 55,40 / 40,45 / 50,2300,2500,90-93,95,40+,23221
Ronny Henriquez,SP,TEX,,16,20.9472222,,,55 / 55,40 / 45,,50 / 60,35 / 55,2400,2350,93-96,97,40+,24094
Antoine Kelly,SIRP,MIL,,16,21.4888888,,Tail,60 / 65,40 / 50,,30 / 45,30 / 50,2250,2250,93-96,98,40+,sa3011135
Burl Carraway,SIRP,CHC,,16,22.0111111,,Rise,65 / 70,,70 / 70,,30 / 35,,2850,94-97,98,40+,sa3014495
Jake Brentz,SIRP,KCR,,16,26.7138888,,Tail,60 / 60,50 / 55,,40 / 40,50 / 50,2350,2150,95-97,100,40+,17783
Alejandro Hidalgo,SP,LAA,,16,18.025,,Rise,40 / 50,,50 / 60,40 / 50,20 / 45,,,92-94,97,40,
José De León,MIRP,CIN,,16,28.8166666,3/13/18,Sink,55 / 55,45 / 45,,60 / 60,40 / 40,2100,2500,93-96,98,40,15463
Brady Feigl,SP,OAK,,16,25.5111111,,Sink,45 / 45,,50 / 50,45 / 50,50 / 50,,,90-93,95,40,sa3007455
Eric Pardinho,SP,TOR,,16,20.4055555,2/11/20,Sink,40 / 50,45 / 50,50 / 55,45 / 50,35 / 55,2100,2100,90-93,94,40,sa968102
Robert Dominguez,SP,NYM,,16,19.5027777,,,55 / 60,,50 / 60,40 / 45,20 / 50,,,93-96,99,40,sa3014694
Joey Cantillo,SP,CLE,,17,21.4527777,,Rise,45 / 50,,40 / 45,55 / 60,40 / 55,2000,2400,87-90,92,45,sa3005246
Drew Strotman,SP,TBR,,17,24.7444444,6/1/18,,50 / 55,,50 / 55,30 / 40,45 / 50,2200,2550,92-95,97,45,sa3004584
Gerardo Carrillo,SIRP,LAD,,17,22.7166666,,Sink/Tail,60 / 65,50 / 55,50 / 50,45 / 55,30 / 40,2300,2650,93-96,99,40+,sa3002790
Dax Fulton,SP,MIA,,17,19.625,,,50 / 60,,55 / 60,40 / 50,20 / 50,,,91-95,96,40+,sa3014535
Jared Jones,SIRP,PIT,,17,19.8194444,,Rise,60 / 60,50 / 60,55 / 55,40 / 50,20 / 35,,,93-97,99,40+,27863
Garrett Whitlock,MIRP,BOS,,17,24.9722222,7/25/19,Tail,55 / 55,50 / 50,,60 / 60,50 / 55,2250,2050,92-95,96,40+,20191
Kohl Franklin,SP,CHC,,17,21.7277777,,,45 / 50,,50 / 55,55 / 60,35 / 50,2200,2700,90-93,95,40+,sa3008335
Nick Swiney,SP,SFG,,17,22.3027777,,Rise,40 / 45,,50 / 55,50 / 55,35 / 55,2050,2700,88-92,93,40+,sa3014542
Hector Yan,MIRP,LAA,,17,22.0972222,,Tail,50 / 65,45 / 45,,40 / 45,30 / 40,2150,2450,90-94,96,40,sa917194
Vladimir Gutierrez,MIRP,CIN,,17,25.7027777,,Tail,55 / 55,60 / 60,60 / 60,50 / 55,45 / 50,2100,2600,90-93,97,40,19278
Seth Elledge,SIRP,STL,,17,25.0305555,,Sink,55 / 55,60 / 60,,,30 / 40,2150,2450,92-94,96,40,19766
Stevie Emanuels,SP,OAK,,17,22.3361111,,Tail,40 / 50,50 / 55,,40 / 50,30 / 55,,,87-92,94,40,sa3014698
Jasseel De La Cruz,SIRP,ATL,,17,23.9305555,,Rise,55 / 60,55 / 60,,40 / 45,40 / 40,2300,2750,91-97,99,40,sa879559
Connor Brogdon,SIRP,PHI,,17,26.3388888,,Rise,55 / 55,,,60 / 60,50 / 50,2450,2350,93-95,97,40,21205
Alex Faedo,SP,DET,,17,25.5527777,12/28/20,Tail,45 / 50,60 / 60,,40 / 45,55 / 60,2350,2700,90-93,95,40,19874
Carlos Guarate,SP,SDP,,17,20.1694444,,,45 / 45,,50 / 55,40 / 50,35 / 50,2300,2400,88-91,93,40,sa3006127
Nivaldo Rodriguez,SP,HOU,,17,24.125,,Rise,45 / 45,50 / 50,55 / 55,45 / 50,50 / 50,2250,2850,89-92,94,40,22449
Joey Murray,MIRP,TOR,,17,24.6888888,,Rise,50 / 55,50 / 55,50 / 55,40 / 45,40 / 45,2450,2700,88-91,93,40,sa3007234
Taylor Dollard,SP,SEA,,17,22.2888888,,Tail,40 / 45,55 / 60,45 / 50,45 / 50,35 / 60,,,90-93,94,40,sa3014982
Carlos Hernández,SIRP,KCR,,17,24.2222222,,Sink,60 / 60,,45 / 45,45 / 45,45 / 45,2400,2150,95-98,100,40,22713
José Buttó,SP,NYM,,17,23.2,,Tail,40 / 40,45 / 50,,55 / 60,50 / 55,2350,,89-94,96,40,23313
Joe Ryan,MIRP,TBR,,18,24.9888888,,Rise,60 / 60,,50 / 50,45 / 50,50 / 60,2200,2550,90-94,96,45,21390
Jhosmer Alvarez,SIRP,ARI,,18,19.9222222,,Rise,50 / 55,,40 / 45,,35 / 40,2100,2200,92-96,98,40+,sa3005437
Emmanuel Clase,SIRP,CLE,,18,23.2027777,,Cut,80 / 80,50 / 55,,,40 / 40,2500,2500,98-100,102,40+,21032
Max Lazar,SP,MIL,,18,21.9944444,1/1/21,Rise,40 / 50,,40 / 45,55 / 60,45 / 55,2100,,86-89,91,40+,sa3005163
Riley Thompson,MIRP,CHC,,18,24.8944444,6/1/15,,50 / 55,,55 / 60,45 / 45,40 / 45,2350,3000,92-94,96,40+,sa876287
Ryan Hendrix,SIRP,CIN,,18,26.4583333,,Sink,55 / 55,60 / 60,,,35 / 40,2250,2550,93-96,98,40,19535
Kodi Whitley,SIRP,STL,,18,26.2777777,,Rise,40 / 45,55 / 55,,50 / 60,40 / 40,2350,1950,92-95,96,40,19731
Victor Vodnik,SIRP,ATL,,18,21.6444444,,Rise,60 / 65,45 / 45,,50 / 55,30 / 40,2350,2200,92-96,98,40,24614
James McArthur,SP,PHI,,18,24.4722222,,Rise,55 / 60,50 / 55,50 / 55,35 / 40,30 / 45,2400,2800,93-95,96,40,21527
Zac Lowther,SP,BAL,,18,25.0861111,,Tail,40 / 40,,45 / 45,55 / 60,45 / 50,2200,2550,88-91,94,40,20243
Ryan Feltner,SP,COL,,18,24.7472222,,Tail/Rise,50 / 50,50 / 50,45 / 50,50 / 55,40 / 50,2300,2650,91-93,95,40,21446
Efrain Contreras,SP,SDP,,18,21.4138888,,,50 / 50,45 / 50,,55 / 60,35 / 55,,,92-94,97,40,sa3005692
Blayne Enlow,MIRP,MIN,,18,22.1944444,,Sink,50 / 50,50 / 50,,45 / 50,40 / 45,2300,2550,91-94,96,40,sa3005117
Isaiah Campbell,SP,SEA,,18,23.7944444,,,50 / 50,50 / 55,50 / 50,,40 / 50,2200,2300,90-93,96,40,25551
Joshua Cornielly,SP,NYM,,18,20.3777777,,Rise,40 / 45,,40 / 50,45 / 55,40 / 55,2150,,88-93,95,40,sa3005890
Holden Powell,SIRP,WSN,,18,21.7277777,,,60 / 60,50 / 55,,,30 / 40,,,94-97,99,35+,
Justin Martinez,SP,ARI,,19,19.8361111,,Tail,55 / 60,45 / 50,,40 / 50,30 / 50,2350,2300,92-96,98,40+,24453
A.J. Alexy,SIRP,TEX,,19,23.1111111,,Rise,60 / 60,,55 / 60,40 / 45,30 / 35,2250,2400,93-97,99,40+,22343
Ben Leeper,SIRP,CHC,,19,23.9611111,,Rise,65 / 70,55 / 60,,,30 / 35,,,95-98,99,40+,sa3014907
Sam Delaplane,SIRP,SFG,,19,26.1777777,4/13/20,Rise,60 / 60,70 / 70,,,40 / 45,2150,2800,92-95,97,40+,sa3004222
Packy Naughton,MIRP,LAA,,19,25.125,,Tail,45 / 45,45 / 50,40 / 40,50 / 50,55 / 55,2000,2100,87-92,94,40,23292
Bryce Bonnin,SIRP,CIN,,19,22.6388888,,Sink,55 / 55,55 / 60,,30 / 45,30 / 40,2150,2400,93-96,97,40,sa3014453
Gunner Mayer,SP,PHI,,19,20.8444444,,Rise,45 / 55,50 / 60,,30 / 45,30 / 50,2400,2350,90-94,95,40,sa3011199
Sam McWilliams,SIRP,SDP,,19,25.7416666,,Tail,60 / 60,50 / 55,,,30 / 40,2500,2500,94-97,98,40,sa829124
Chris Vallimont,SP,MIN,,19,24.2027777,,Rise,45 / 45,45 / 50,45 / 50,40 / 50,40 / 50,2350,2600,89-93,95,40,24935
Kade McClure,MIRP,CHW,,19,25.3027777,,Rise,50 / 55,50 / 55,45 / 50,,45 / 50,2300,2350,92-94,95,40,sa915622
Zachary Brzykcy,SIRP,WSN,,19,21.8861111,,Rise/Tail,60 / 60,,55 / 60,,30 / 35,,,94-98,99,35+,
Robinson Ortiz,MIRP,LAD,,20,21.4083333,,Tail,50 / 55,,45 / 55,50 / 55,30 / 40,2200,2550,89-94,98,40+,sa3004006
Tanner Burns,SP,CLE,,20,22.425,,Rise,45 / 50,50 / 55,45 / 45,45 / 50,40 / 50,2350,2600,90-94,95,40+,sa3014451
Kyle Nicolas,SIRP,MIA,,20,22.275,,,55 / 60,55 / 60,45 / 45,30 / 30,30 / 40,,,92-94,97,40+,27775
Blake Rivera,SIRP,SFG,,20,23.3944444,,Cut,55 / 55,,70 / 70,40 / 40,40 / 40,2600,2800,92-96,97,40+,sa3008261
Riley O'Brien,SIRP,CIN,,20,26.3194444,,Tail,55 / 55,,55 / 60,45 / 50,40 / 50,2300,2600,92-95,97,40,20348
Grant Holmes,SIRP,OAK,,20,25.1916666,,Tail,50 / 50,55 / 55,,40 / 40,30 / 35,2250,2800,92-94,97,40,sa828669
Tommy Doyle,SIRP,COL,,20,25.0833333,,Rise,50 / 55,60 / 60,,40 / 45,45 / 50,2250,2550,92-95,97,40,21281
Dylan File,SP,MIL,,20,24.9916666,,Rise,40 / 40,50 / 55,50 / 50,55 / 55,55 / 60,2250,2700,88-92,92,40,sa3004197
Steven Wilson,SIRP,SDP,,20,26.7694444,2/1/16,Rise,60 / 60,55 / 55,,30 / 30,40 / 45,2450,2750,91-95,97,40,20353
Misael Tamarez,SP,HOU,,20,21.375,,Cut/Rise,45 / 55,,,50 / 55,35 / 50,,,92-94,94,40,sa3009632
Josh Dye,MIRP,KCR,,20,24.7138888,,Sink/Tail,35 / 40,,50 / 50,55 / 55,50 / 60,2000,,88-91,92,40,sa3007485
Jordany Ventura,SP,NYM,,20,20.9027777,,Cut/Rise,45 / 55,50 / 55,,40 / 50,40 / 50,2450,,91-94,95,40,sa3008542
Cole Wilcox,SP,TBR,,21,21.8805555,,Sink/Tail,55 / 60,55 / 60,,45 / 55,35 / 45,2100,2100,93-97,100,45,sa3014443
Logan Allen,SP,CLE,,21,22.7388888,,Tail,45 / 50,,45 / 50,50 / 60,35 / 55,,2400,89-92,94,40+,27589
Sean Hjelle,SP,SFG,,21,24.0666666,,None,50 / 50,,45 / 50,45 / 50,45 / 55,2500,2200,91-94,96,40+,21481
J.B. Bukauskas,SIRP,ARI,,21,24.6388888,,Tail,50 / 50,45 / 45,,70 / 70,40 / 40,2500,2450,92-94,96,40,20491
Victor González,SIRP,LAD,,21,25.5416666,1/1/17,Sink/Tail,60 / 60,60 / 60,,45 / 45,40 / 40,2150,2550,93-95,97,40,16408
Tyler Baum,MIRP,OAK,,21,23.3805555,,,50 / 55,,50 / 55,45 / 50,30 / 40,2250,,93-95,97,40,sa1054042
William Woods,SIRP,ATL,,21,22.4222222,,Rise/Tail,55 / 60,45 / 55,,30 / 40,30 / 40,2400,,96-99,100,40,25075
Eduar Segovia,SP,PHI,,21,20.3916666,,Tail,45 / 50,50 / 55,,30 / 45,30 / 50,2250,2300,92-95,97,40,sa3008374
Reggie Lawson,SIRP,SDP,,21,23.8305555,3/20/20,,50 / 55,,55 / 55,45 / 50,35 / 45,2200,2300,92-95,97,40,sa917951
Edwar Colina,SIRP,MIN,,21,24.0777777,,Sink,60 / 60,50 / 55,,40 / 40,40 / 45,2400,2800,94-98,100,40,20589
Hagen Danner,SIRP,TOR,,21,22.6694444,,,60 / 60,50 / 55,,,35 / 40,,,94-97,,40,22116
Michael McAvene,SIRP,CHC,,21,23.7694444,4/1/17,,65 / 70,50 / 55,,,35 / 40,2300,2450,94-98,100,40,sa3011727
Sam Carlson,SP,SEA,,21,22.4944444,,Rise,55 / 60,,45 / 50,50 / 60,40 / 55,2200,2350,89-93,94,40,sa3005015
Christian Chamberlain,SIRP,KCR,,21,21.8638888,,Rise,45 / 60,,60 / 60,40 / 45,30 / 40,,,93-96,97,40,sa3014486
Yennsy Díaz,SIRP,NYM,,21,24.5444444,,Tail,55 / 60,,45 / 45,55 / 55,35 / 35,2400,2150,93-96,98,35+,20218
Reid Schaller,SIRP,WSN,,21,24.1638888,1/1/16,,45 / 55,50 / 55,,40 / 45,45 / 50,2450,2400,91-94,96,35+,sa3008023
Nick Bitsko,SP,TBR,,22,18.9583333,,Rise,50 / 60,,50 / 60,35 / 50,25 / 50,,,92-95,97,45,sa3014476
José Soriano,SIRP,PIT,,22,22.6138888,2/6/20,Rise,55 / 60,,50 / 55,30 / 40,30 / 40,2250,2300,93-97,99,40+,22100
Ricky Vanasco,MIRP,TEX,,22,22.6333333,44095,Rise,55 / 60,,60 / 70,,35 / 40,2250,,92-96,98,40+,23391
Kervin Castro,SIRP,SFG,,22,22.3166666,5/1/17,Rise,60 / 60,,50 / 55,,30 / 40,2250,,93-96,98,40+,21656
Aaron Hernandez,SIRP,LAA,,22,24.4972222,,,45 / 50,50 / 50,50 / 55,40 / 50,30 / 40,2200,2800,91-95,97,40,sa3008599
Graham Ashcraft,SIRP,CIN,,22,23.3055555,,Rise,55 / 60,50 / 55,55 / 60,40 / 50,40 / 50,2600,2750,94-96,97,40,27552
Conor Grammes,SIRP,ARI,,22,23.8666666,,Tail,65 / 70,60 / 70,,40 / 45,20 / 30,2200,2550,94-97,99,40,sa3011651
Nick Robertson,SIRP,LAD,,22,22.875,3/1/17,Rise,60 / 60,,60 / 60,,30 / 40,,,93-96,98,40,26226
Jack Weisenburger,SIRP,OAK,,22,23.6472222,,,55 / 60,55 / 60,,45 / 45,40 / 40,,,93-96,97,40,sa3011607
Spencer Strider,SP,ATL,,22,22.5916666,,Tail,50 / 55,,50 / 55,30 / 50,35 / 50,2300,2250,91-95,97,40,
Adonis Medina,SP,PHI,,22,24.4527777,,Sink/Tail,40 / 40,45 / 45,,55 / 60,50 / 55,2200,2500,90-94,96,40,19903
Tony Locey,SIRP,COL,,22,22.8388888,,,50 / 60,45 / 55,,30 / 40,30 / 50,,2300,92-95,97,40,sa3011123
Victor Castaneda,MIRP,MIL,,22,22.7611111,,Sink,45 / 45,,45 / 45,55 / 55,40 / 45,2150,,91-94,95,40,sa978399
Mason Thompson,SIRP,SDP,,22,23.2805555,3/18/15,,50 / 60,50 / 50,40 / 55,50 / 60,30 / 35,2350,2350,91-95,97,40,21850
Austin Hansen,SIRP,HOU,,22,24.7666666,,,55 / 55,55 / 55,,50 / 55,35 / 40,,,93-95,96,40,sa3006956
Bailey Ober,MIRP,MIN,,22,25.8861111,3/1/15,Rise/Cut,45 / 45,40 / 40,45 / 50,60 / 60,60 / 60,2200,2000,85-87,88,40,21224
Jackson Rees,SIRP,TOR,,22,26.8361111,,Sink,50 / 50,,70 / 70,,35 / 35,2350,2750,91-94,95,40,sa3007818
Hunter Bigge,SIRP,CHC,,22,22.9694444,,Rise,55 / 60,,50 / 55,,40 / 50,2350,2450,92-96,99,40,sa3011341
Levi Stoudt,SIRP,SEA,,22,23.4916666,,,50 / 50,40 / 45,,55 / 60,30 / 40,2200,2250,93-96,97,40,25650
Beck Way,SP,NYY,,22,21.8194444,,Tail,50 / 55,45 / 50,,45 / 50,30 / 45,,,91-94,96,40,sa3014462
Marcel Rentería,SIRP,NYM,,22,26.6777777,,Tail,50 / 55,,70 / 70,,30 / 35,,,93-95,96,35+,sa3005016
Todd Peterson,SP,WSN,,22,23.3583333,,,55 / 60,50 / 55,,,35 / 45,,,93-95,96,35+,
Ian Seymour,MIRP,TBR,,23,22.4666666,,Tail,45 / 45,50 / 55,,50 / 55,40 / 55,2200,2200,93-95,96,40+,sa3014512
Luis Oviedo,MIRP,PIT,,23,22.0444444,,Tail,55 / 60,,55 / 55,45 / 55,30 / 40,2250,2350,94-96,98,40+,21728
Dane Acker,SP,TEX,,23,22.1666666,,,55 / 60,45 / 50,45 / 50,40 / 45,30 / 45,,,92-97,99,40+,sa3014924
Manuel Mercedes,SP,SFG,,23,18.6944444,,Tail,50 / 60,40 / 50,,35 / 60,20 / 45,,,94-97,98,40+,
Sadrac Franco,SIRP,LAA,,23,20.9916666,,,50 / 55,,50 / 55,40 / 45,30 / 40,2300,,92-96,97,40,sa3005073
Jake Woodford,MIRP,STL,,23,24.5916666,,Sink,45 / 45,45 / 45,50 / 50,40 / 40,45 / 45,2250,2550,90-94,96,40,18674
Patrick Weigel,SIRP,ATL,,23,26.8972222,6/27/17,Tail,55 / 55,60 / 60,55 / 55,45 / 50,35 / 40,2350,3000,91-95,98,40,17792
Damon Jones,SIRP,PHI,,23,26.6694444,,Rise,55 / 55,60 / 60,,,30 / 35,2350,2700,91-94,96,40,23310
Carter Baumler,SP,BAL,,23,19.3361111,10/28/20,Rise,45 / 50,50 / 55,45 / 55,,20 / 45,,,90-92,94,40,sa3014480
Karl Kauffmann,SP,COL,,23,23.7944444,,,45 / 50,45 / 50,,50 / 55,30 / 45,,,91-94,96,40,27488
Javy Guerra,SIRP,SDP,,23,25.6833333,,,65 / 65,45 / 55,,,35 / 45,2450,2600,96-98,100,40,17292
Jojanse Torres,SIRP,HOU,,23,25.825,,Rise/Tail,60 / 60,55 / 55,,50 / 50,35 / 35,2400,2350,94-97,99,40,sa3006955
Marco Raya,SP,MIN,,23,18.8166666,,Rise/Cut,40 / 50,45 / 50,,40 / 55,35 / 55,,,88-92,95,40,sa3014550
Max Bain,MIRP,CHC,,23,25.6777777,,Rise,55 / 55,45 / 50,55 / 60,,30 / 40,,,93-96,98,40,sa3014932
Ljay Newsome,SP,SEA,,23,24.5638888,,,50 / 50,,45 / 45,55 / 60,55 / 60,2200,2100,89-92,94,40,19942
Tyler Johnson,SIRP,CHW,,23,25.7777777,,Cut,60 / 60,,55 / 55,40 / 45,30 / 40,2350,2350,93-95,97,40,sa915688
Tylor Megill,SIRP,NYM,,23,25.8416666,,None,50 / 50,55 / 55,,,40 / 45,2100,,90-93,95,35+,21318
